time,meter_name,status,fault_groups
2025-08-29 14:19:56.040510,M2.2,OK,
2025-08-29 14:19:56.085582,M3.1,OK,
2025-08-29 14:19:56.085582,M3.2,OK,
2025-08-29 14:20:01.131879,M1.1,OK,
2025-08-29 14:20:01.131879,M1.2,OK,
2025-08-29 14:20:01.131879,M1.3,OK,
2025-08-29 14:20:01.131879,M1.4,OK,
2025-08-29 14:20:01.292392,M2.1,OK,
2025-08-29 14:20:01.292392,M2.2,OK,
2025-08-29 14:20:01.338847,M3.1,OK,
2025-08-29 14:20:01.338847,M3.2,OK,
2025-08-29 14:20:06.384716,M1.1,OK,
2025-08-29 14:20:06.384716,M1.2,OK,
2025-08-29 14:20:06.384716,M1.3,OK,
2025-08-29 14:20:06.384716,M1.4,OK,
2025-08-29 14:20:06.536056,M2.1,OK,
2025-08-29 14:20:06.536056,M2.2,OK,
2025-08-29 14:20:06.583657,M3.1,OK,
2025-08-29 14:20:06.583657,M3.2,OK,
2025-08-29 14:20:11.634193,M1.1,OK,
2025-08-29 14:20:11.634193,M1.2,OK,
2025-08-29 14:20:11.634193,M1.3,OK,
2025-08-29 14:20:11.634193,M1.4,OK,
2025-08-29 14:20:11.793641,M2.1,OK,
2025-08-29 14:20:11.793641,M2.2,OK,
2025-08-29 14:20:11.838719,M3.1,OK,
2025-08-29 14:20:11.838719,M3.2,OK,
2025-08-29 14:20:16.890960,M1.1,OK,
2025-08-29 14:20:16.890960,M1.2,OK,
2025-08-29 14:20:16.890960,M1.3,OK,
2025-08-29 14:20:16.890960,M1.4,OK,
2025-08-29 14:20:17.036055,M2.1,OK,
2025-08-29 14:20:17.036055,M2.2,OK,
2025-08-29 14:20:17.090445,M3.1,OK,
2025-08-29 14:20:17.090445,M3.2,OK,
2025-08-29 14:20:22.147713,M1.1,OK,
2025-08-29 14:20:22.147713,M1.2,OK,
2025-08-29 14:20:22.147713,M1.3,OK,
2025-08-29 14:20:22.147713,M1.4,OK,
2025-08-29 14:20:22.261617,M2.1,OK,
2025-08-29 14:20:22.261617,M2.2,OK,
2025-08-29 14:20:22.312922,M3.1,OK,
2025-08-29 14:20:22.312922,M3.2,OK,
2025-08-29 14:20:27.365903,M1.1,OK,
2025-08-29 14:20:27.365903,M1.2,OK,
2025-08-29 14:20:27.365903,M1.3,OK,
2025-08-29 14:20:27.365903,M1.4,OK,
2025-08-29 14:20:27.553037,M2.1,OK,
2025-08-29 14:20:27.553037,M2.2,OK,
2025-08-29 14:20:27.603974,M3.1,OK,
2025-08-29 14:20:27.603974,M3.2,OK,
2025-08-29 14:20:32.656849,M1.1,OK,
2025-08-29 14:20:32.656849,M1.2,OK,
2025-08-29 14:20:32.656849,M1.3,OK,
2025-08-29 14:20:32.656849,M1.4,OK,
2025-08-29 14:20:32.793837,M2.1,OK,
2025-08-29 14:20:32.793837,M2.2,OK,
2025-08-29 14:20:32.844531,M3.1,OK,
2025-08-29 14:20:32.844531,M3.2,OK,
2025-08-29 14:20:37.894143,M1.1,OK,
2025-08-29 14:20:37.894143,M1.2,OK,
2025-08-29 14:20:37.894143,M1.3,OK,
2025-08-29 14:20:37.894143,M1.4,OK,
2025-08-29 14:20:38.014797,M2.1,OK,
2025-08-29 14:20:38.014797,M2.2,OK,
2025-08-29 14:20:38.084351,M3.1,OK,
2025-08-29 14:20:38.084351,M3.2,OK,
2025-08-29 14:20:43.173923,M1.1,OK,
2025-08-29 14:20:43.173923,M1.2,OK,
2025-08-29 14:20:43.173923,M1.3,OK,
2025-08-29 14:20:43.173923,M1.4,OK,
2025-08-29 14:20:43.306177,M2.1,OK,
2025-08-29 14:20:43.306177,M2.2,OK,
2025-08-29 14:20:43.359840,M3.1,OK,
2025-08-29 14:20:43.359840,M3.2,OK,
2025-08-29 14:20:48.414571,M1.1,OK,
2025-08-29 14:20:48.414571,M1.2,OK,
2025-08-29 14:20:48.414571,M1.3,OK,
2025-08-29 14:20:48.414571,M1.4,OK,
2025-08-29 14:20:48.520237,M2.1,OK,
2025-08-29 14:20:48.520237,M2.2,OK,
2025-08-29 14:20:48.570249,M3.1,OK,
2025-08-29 14:20:48.570249,M3.2,OK,
2025-08-29 14:20:53.624867,M1.1,OK,
2025-08-29 14:20:53.624867,M1.2,OK,
2025-08-29 14:20:53.624867,M1.3,OK,
2025-08-29 14:20:53.624867,M1.4,OK,
2025-08-29 14:20:53.791498,M2.1,OK,
2025-08-29 14:20:53.791498,M2.2,OK,
2025-08-29 14:20:53.844316,M3.1,OK,
2025-08-29 14:20:53.844316,M3.2,OK,
2025-08-29 14:20:58.894010,M1.1,OK,
2025-08-29 14:20:58.894010,M1.2,OK,
2025-08-29 14:20:58.894010,M1.3,OK,
2025-08-29 14:20:58.894010,M1.4,OK,
2025-08-29 14:20:59.057995,M2.1,OK,
2025-08-29 14:20:59.057995,M2.2,OK,
2025-08-29 14:20:59.108888,M3.1,OK,
2025-08-29 14:20:59.108888,M3.2,OK,
2025-08-29 14:21:04.159244,M1.1,OK,
2025-08-29 14:21:04.159244,M1.2,OK,
2025-08-29 14:21:04.159244,M1.3,OK,
2025-08-29 14:21:04.159244,M1.4,OK,
2025-08-29 14:21:04.465965,M2.1,OK,
2025-08-29 14:21:04.465965,M2.2,OK,
2025-08-29 14:21:04.515685,M3.1,OK,
2025-08-29 14:21:04.515685,M3.2,OK,
2025-08-29 14:21:09.569088,M1.1,OK,
2025-08-29 14:21:09.569088,M1.2,OK,
2025-08-29 14:21:09.569088,M1.3,OK,
2025-08-29 14:21:09.569088,M1.4,OK,
2025-08-29 14:21:09.713355,M2.1,OK,
2025-08-29 14:21:09.713355,M2.2,OK,
2025-08-29 14:21:09.763575,M3.1,OK,
2025-08-29 14:21:09.763575,M3.2,OK,
2025-08-29 14:21:14.814153,M1.1,OK,
2025-08-29 14:21:14.814153,M1.2,OK,
2025-08-29 14:21:14.814153,M1.3,OK,
2025-08-29 14:21:14.814153,M1.4,OK,
2025-08-29 14:21:14.980155,M2.1,OK,
